Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2020-01-02,72.6208,153.0423,94.9005,329.81,208.6354,67.9645,53.6685,49.1,5.9717,57.9693,205.2763,31.0923,120.1543,43.6329
2020-01-03,71.9148,151.1367,93.7485,325.9,207.5315,67.631,53.0157,48.6,5.8762,58.1637,202.8759,30.4467,118.5687,42.9286
2020-01-06,72.4879,151.5273,95.144,335.83,211.44,69.2986,52.8657,48.39,5.9008,58.9898,204.9522,30.4031,118.4744,42.7777
2020-01-07,72.1469,150.1457,95.343,330.75,211.8975,69.2553,51.9836,48.25,5.9722,58.5524,206.3013,30.2025,116.4603,42.6939
2020-01-08,73.3075,152.5373,94.5985,339.26,214.0457,69.8011,52.0189,47.83,5.9834,58.018,208.2899,30.5078,117.3688,43.2389
2020-01-09,74.8646,154.443,95.0525,335.66,217.1089,70.572,52.31,48.97,6.0492,57.8721,212.53,30.5601,117.7973,43.6497
2020-01-10,75.0339,153.7283,94.158,329.05,216.8702,71.0641,51.9924,48.165,6.0815,56.706,212.1007,30.3072,116.6231,43.7755
2020-01-13,76.6369,155.5768,94.565,338.92,220.6992,71.5363,52.5658,48.745,6.2722,58.8926,214.8165,30.5863,117.5916,44.2534
2020-01-14,75.6021,154.4811,93.472,338.69,217.8648,71.1212,52.4247,48.21,6.1552,58.4552,215.2107,30.8131,118.963,44.3205
2020-01-15,75.2781,155.4815,93.101,339.07,219.9434,71.5348,51.9924,48.545,6.1126,57.6778,214.8165,30.2461,117.1802,44.3875
2020-01-16,76.2211,158.3305,93.897,338.62,220.56,72.1561,52.6275,49.77,6.1963,57.5321,218.7675,30.2897,117.6345,47.3221
2020-01-17,77.0649,159.2166,93.236,339.67,220.928,73.5821,52.5746,50.93,6.205,57.3862,218.5397,30.281,118.4487,48.2193
2020-01-21,76.5426,158.6449,94.6,338.11,220.2318,73.7814,53.4126,51.05,6.1716,56.6574,215.2458,29.8884,117.2831,46.8861
2020-01-22,76.8158,157.8827,94.373,326.0,220.1125,73.8585,55.3357,51.43,6.2241,55.2482,216.4284,29.9756,117.1459,46.8358
2020-01-23,77.1858,158.8545,94.229,349.6,218.561,73.8933,55.8561,51.71,6.2941,57.1919,215.1406,29.7663,117.0259,46.5591
2020-01-24,76.9633,157.2538,93.082,353.16,216.7509,72.9022,60.3991,50.35,6.2349,56.9003,211.9343,29.2603,114.1204,45.7374
2020-01-27,74.7002,154.624,91.417,342.88,213.6977,71.2713,57.9468,49.26,5.979,55.5884,208.6228,28.6583,113.1605,44.5301
2020-01-28,76.8134,157.654,92.6625,348.52,216.6017,72.1988,59.3758,50.53,6.1724,56.9975,212.5125,28.9986,115.2175,45.2931
2020-01-29,78.4213,160.1123,92.9,343.16,222.012,72.5005,58.5113,47.51,6.1119,62.8771,210.3574,28.7979,115.0461,45.008
2020-01-30,78.3077,164.6286,93.534,347.74,208.3868,72.3619,58.6348,48.78,6.1186,61.8566,213.8704,29.2079,116.4688,45.4215
2020-01-31,74.8356,162.1989,100.436,345.09,200.8084,71.2878,56.3942,47.0,5.8851,60.4961,208.2812,28.6409,113.4433,44.105
2020-02-03,74.6301,166.1532,100.21,358.0,203.0759,73.858,56.8265,48.02,5.9822,59.5729,209.385,28.763,114.309,44.3919
2020-02-04,77.0939,171.6224,102.4835,369.01,208.6851,71.926,57.7439,49.45,6.1515,61.1278,211.9518,29.3301,115.9546,45.5903
2020-02-05,77.7226,171.4127,101.9935,369.67,208.9636,71.9836,59.4023,49.84,6.2418,62.4884,214.0193,30.281,117.9259,46.409
2020-02-06,78.6317,174.9668,102.5115,366.95,209.6996,73.3753,59.4732,49.32,6.3286,62.9256,211.8467,30.2461,117.943,46.4258
2020-02-07,77.5629,175.2145,103.964,366.77,211.1715,73.5245,58.5247,49.73,6.2625,62.3425,208.5002,30.1937,117.5659,46.4427
2020-02-10,77.9312,179.7976,106.6955,371.07,211.8975,74.9883,58.8526,52.26,6.5457,62.7313,207.9395,30.2635,118.0544,46.7128
2020-02-11,77.4611,175.7385,107.54,373.69,206.0596,74.9937,59.7568,53.8,6.6682,62.4397,207.151,30.3333,118.2773,47.0757
2020-02-12,79.3006,175.9958,108.0,380.01,209.6101,75.4649,59.8012,53.89,6.784,63.9461,209.0696,30.4642,118.2773,47.4133
2020-02-13,78.7359,175.043,107.4935,381.4,211.9771,75.2855,59.7834,54.53,6.7402,62.8771,208.8068,30.4555,118.1744,47.2023
2020-02-14,78.7553,176.6056,106.7435,380.4,213.0114,75.5877,59.6327,55.31,7.2133,62.3425,207.6942,30.4031,117.8145,47.1263
2020-02-18,77.3132,178.3969,107.7835,387.78,216.6117,75.5345,58.631,56.89,7.3821,61.9538,204.3039,29.8971,116.2546,46.8563
2020-02-19,78.4329,178.932,108.511,386.19,216.3034,75.8834,59.4909,58.9,7.8334,61.2735,207.9132,30.2897,117.8402,47.523
2020-02-20,77.6283,176.1994,107.655,386.0,213.4092,75.459,58.0194,57.27,7.684,60.8848,203.8834,30.4031,117.8402,45.3625
2020-02-21,75.8712,170.6293,104.7985,380.07,209.0332,73.8167,57.0354,53.28,7.3199,59.5243,202.0349,29.9756,116.4003,44.24
2020-02-24,72.2673,163.2725,100.4645,368.7,199.6249,70.6595,54.7483,49.12,6.8024,57.6292,196.7085,28.5536,113.2719,41.9276
2020-02-25,69.8194,160.5782,98.637,360.09,195.6964,69.0123,52.9488,47.57,6.5228,55.0053,190.6375,27.1142,108.2151,40.535
2020-02-26,70.927,162.5846,98.9795,379.24,196.1241,69.2474,52.8779,47.49,6.6622,53.2074,189.0343,26.7216,108.5408,39.8683
2020-02-27,66.2906,151.1291,94.215,371.71,188.7147,65.5151,49.4915,44.01,6.2914,50.4863,180.195,25.413,104.024,38.3239
2020-02-28,66.2519,154.7884,94.1875,369.03,191.4199,66.5708,49.2167,45.48,6.7265,52.8673,176.9602,24.8634,99.5158,38.0032
2020-03-02,72.42,165.0878,97.6975,381.05,195.3682,69.0451,51.5747,47.46,6.8849,54.4708,184.6284,25.6224,104.1526,39.2269
2020-03-03,70.1199,157.1769,95.4495,368.77,184.8758,66.6732,49.6156,46.75,6.6224,52.8673,179.3047,24.2091,100.2443,37.4715
2020-03-04,73.3724,162.9477,98.7915,383.79,190.7137,68.9163,52.018,50.11,7.0861,53.2074,183.985,24.7674,102.7213,38.1804
2020-03-05,70.9924,158.8585,96.2015,372.78,184.1597,65.5623,50.4933,48.11,6.8067,48.98,175.215,23.5119,97.6816,35.9439
2020-03-06,70.0497,154.368,95.0545,368.97,180.102,64.5369,49.4384,48.59,6.6261,45.7211,169.9794,22.5725,92.6334,35.311
2020-03-09,64.5093,143.9061,90.0305,346.49,168.5752,60.4189,45.0769,43.27,6.1131,39.9329,152.316,19.2538,80.0857,31.6482
2020-03-10,69.1553,153.747,94.591,364.13,177.2178,63.6412,47.8516,45.38,6.5026,43.0459,162.4875,20.7288,86.3081,33.3361
2020-03-11,66.7535,146.7819,91.043,349.92,169.3112,60.4114,45.795,45.7,6.1387,39.9329,151.5051,19.9035,82.2456,31.1165
2020-03-12,60.1613,132.8614,83.8305,315.25,153.6272,55.4161,40.3698,39.01,5.3875,35.1663,132.8105,18.0071,75.4661,26.4242
2020-03-13,67.3691,151.7501,89.25,336.295,169.3509,60.6261,48.2505,43.9,5.9985,38.182,156.159,21.2117,89.0594,31.6482
2020-03-16,58.7023,129.3836,84.4575,298.84,145.2134,53.8961,39.5454,38.71,4.8916,32.3938,136.3185,17.9456,75.7317,26.7111
2020-03-17,61.2835,140.0366,90.392,319.75,148.6048,55.6592,44.3943,41.88,5.4114,34.4368,139.8529,19.2977,80.36,28.5172
2020-03-18,59.7832,134.1416,91.5,315.47,146.1582,54.5159,42.2048,39.12,5.0515,32.102,123.4147,18.2529,71.9006,25.9515
2020-03-19,59.3252,136.3487,94.0465,332.03,152.2945,55.435,40.7244,39.82,5.3043,31.5184,131.7616,18.6129,73.1091,26.095
2020-03-20,55.5589,131.2276,92.3045,332.83,148.9131,53.2992,40.6269,39.61,5.1245,31.713,121.9956,17.2696,71.5663,25.0401
2020-03-23,54.3786,129.9187,95.1415,360.27,147.292,52.5188,43.9511,41.64,5.2974,29.7187,118.9636,15.8736,67.7352,23.4703
2020-03-24,59.8341,141.7277,97.005,357.32,160.1017,56.3878,46.451,46.22,6.2062,34.0963,135.3842,18.4636,75.7917,28.0361
2020-03-25,59.5045,140.371,94.292,342.39,155.3577,54.7988,45.4404,44.63,6.1175,36.7715,136.7328,18.5251,78.6201,28.686
2020-03-26,62.6358,149.1514,97.7745,362.99,162.4488,57.7443,49.2345,47.5,6.4069,39.4953,146.1286,19.9474,84.0969,30.1375
2020-03-27,60.0426,143.0271,95.005,357.12,155.9345,55.2073,46.4244,46.58,6.2946,37.0633,139.5621,18.9641,78.1059,28.7028
2020-03-30,61.7561,153.0877,98.1975,370.96,165.0446,57.0022,49.1901,47.86,6.6149,38.3765,140.6903,19.3504,80.1371,29.4033
2020-03-31,61.63,150.68,97.486,375.5,165.8899,57.7969,47.9757,45.48,6.5654,38.6197,136.2568,18.6392,77.1631,28.6944
2020-04-01,58.3872,145.3297,95.385,364.08,158.7292,54.9543,45.99,43.66,6.054,34.2422,128.0597,17.3574,72.3034,26.6858
2020-04-02,59.3615,148.3393,95.9415,370.08,157.3269,55.7108,48.1796,44.49,6.3629,33.5612,132.1494,18.0598,75.0032,28.61
2020-04-03,58.5084,146.973,95.3295,361.76,153.3388,54.5696,47.9845,42.59,6.0749,32.7343,129.5052,17.5857,72.7863,28.5678
2020-04-06,63.6125,157.9031,99.8795,379.96,164.6467,58.9953,51.7964,47.52,6.6849,35.1663,139.4651,18.7797,77.4713,31.2347
2020-04-07,62.8758,156.2024,100.58,372.28,167.9088,58.9749,51.7698,47.56,6.4515,34.1936,146.3313,19.4382,78.4932,31.1756
2020-04-08,64.485,157.7693,102.15,371.12,173.3291,60.1564,52.2839,48.79,6.6488,35.5068,155.9739,20.5883,81.6627,33.2264
2020-04-09,64.9504,157.7788,102.138,370.72,174.2341,60.2146,50.6528,48.38,6.5492,34.7285,162.4082,21.8262,88.9889,34.6696
2020-04-13,66.2252,158.1324,108.4435,396.72,173.8363,60.5183,52.0357,50.94,6.721,34.1449,157.9306,21.0009,85.0314,33.4036
2020-04-14,69.5698,165.9573,114.166,413.55,177.1979,63.0865,53.7732,54.93,7.0722,33.7072,157.0933,20.8341,82.7019,33.64
2020-04-15,68.9348,164.2184,115.384,426.75,176.0044,62.7505,52.1864,54.99,6.9947,31.6157,157.3489,19.4821,78.6231,32.4078
2020-04-16,69.4825,169.1484,120.4095,439.17,175.2884,62.8002,53.8884,56.95,7.3399,30.351,156.0444,18.806,75.6267,32.374
2020-04-17,68.5398,170.6389,118.75,422.96,178.2621,63.7834,53.5072,56.6,7.2807,33.2694,161.7295,20.439,82.4247,32.9901
2020-04-20,67.1171,167.2567,119.6805,437.49,177.2675,62.9563,52.4612,56.97,7.1494,31.6643,159.0059,19.7542,79.4198,32.374
2020-04-21,65.0425,160.3394,116.406,433.83,169.8681,60.4576,49.9614,52.92,6.7126,31.5184,153.1974,18.9992,77.1162,31.1841
2020-04-22,66.9159,165.7853,118.1745,421.42,181.2855,62.7873,53.2768,55.92,7.127,31.2752,155.1101,19.1397,77.3674,31.9098
2020-04-23,66.6566,163.7789,119.9725,426.7,184.1199,63.4384,52.3371,55.9,7.0737,31.713,154.2904,19.2011,77.4107,31.6229
2020-04-24,68.581,166.7694,120.511,424.99,189.033,63.5875,52.5321,56.18,7.2127,30.4483,156.0091,19.4733,78.5538,32.0449
2020-04-27,68.6294,166.2917,118.8,421.38,186.477,63.417,52.7183,56.49,7.3992,31.2752,161.7735,20.6059,81.9398,33.1758
2020-04-28,67.517,162.2407,115.704,403.83,181.912,61.319,52.08,55.51,7.2568,33.0748,164.832,20.9746,82.52,33.8678
2020-04-29,69.7346,169.521,118.6355,411.89,193.1305,66.6777,54.7838,53.66,7.4336,32.0048,167.4939,21.756,84.7456,34.7277
2020-04-30,71.2057,171.2217,123.7,419.85,203.5931,67.0345,53.1704,52.39,7.2797,33.0748,161.6678,21.1151,82.927,33.5698
2020-05-01,70.0594,166.7885,114.302,415.27,201.1664,65.6403,50.9454,49.88,7.0431,31.6157,156.0973,20.2635,80.7534,32.6929
2020-05-04,71.0506,170.8682,115.7995,428.15,204.1401,65.948,51.4063,52.56,7.2549,30.2051,155.1542,20.1318,79.7921,32.429
2020-05-05,72.117,172.7026,115.89,424.68,205.9402,67.1563,52.08,52.19,7.316,30.1564,157.155,19.8947,79.6709,32.3353
2020-05-06,72.8611,174.4032,117.563,434.26,207.3326,66.9669,52.7576,52.16,7.4169,29.0864,155.9386,19.6225,78.1727,31.7564
2020-05-07,73.6148,175.416,118.3805,436.53,210.1073,68.2225,52.7486,51.95,7.5932,29.7187,160.6982,20.0527,78.9868,33.042
2020-05-08,75.367,176.4479,118.9805,435.55,211.1914,69.0083,53.1944,53.19,7.7833,30.5942,163.4041,20.6937,80.2771,34.1232
2020-05-11,76.5529,178.416,120.45,440.52,212.0169,69.7484,53.6045,55.74,8.0353,30.1078,161.4386,19.8245,77.9129,33.9104
2020-05-12,75.678,174.3746,117.8475,431.82,208.9537,68.3805,52.0533,53.76,7.7733,29.1837,156.1942,19.2011,75.3669,32.7099
2020-05-13,74.7643,171.7376,118.396,438.27,203.981,67.0678,51.4738,52.18,7.7509,28.1622,151.4258,18.3231,72.769,31.4925
2020-05-14,75.2236,172.4828,119.4425,441.95,205.6816,67.4058,52.6684,54.51,8.0005,27.7245,153.7615,19.0606,75.7913,32.1906
2020-05-15,74.7788,174.9956,120.489,454.19,209.7294,68.2538,51.9552,54.2,8.459,26.7031,151.4875,18.8236,74.3884,31.7479
2020-05-18,76.5407,176.6676,121.313,452.58,212.0268,68.7881,53.4172,54.59,8.7175,30.4969,160.3104,20.1318,78.3286,34.2935
2020-05-19,76.0984,175.4447,122.4665,451.04,215.6967,68.2684,53.7471,55.47,8.7726,30.2051,156.7407,19.4996,76.7872,33.4847
2020-05-20,77.5784,177.8782,124.897,447.67,228.7153,69.9204,56.2521,56.39,8.9365,31.2265,159.9226,20.1142,79.0907,34.9576
2020-05-21,77.0,175.7417,122.337,436.25,230.1275,69.7255,55.2537,54.65,8.7424,31.5184,158.7415,20.1054,78.0861,34.3105
2020-05-22,77.4958,175.8183,121.844,429.32,233.6283,70.1043,55.4988,55.17,8.9925,31.1779,158.5917,19.8947,77.48,34.1658
2020-05-26,76.9709,173.9596,121.093,414.77,230.9331,70.4323,55.5746,53.19,8.6851,33.0748,172.8088,21.317,82.979,37.1967
2020-05-27,77.3062,174.1896,120.5195,419.89,227.8898,70.4731,56.6622,52.74,8.4934,35.4581,184.7959,22.8096,87.7852,39.8956
2020-05-28,77.3403,173.7967,120.055,413.44,224.2299,70.4179,55.0041,51.74,8.4553,32.9775,177.3568,21.8262,86.4776,37.8012
2020-05-29,77.2649,175.5692,122.1185,419.73,223.8619,71.0238,56.1006,53.8,8.8423,31.9562,174.2704,21.1765,84.2693,37.6309
2020-06-01,78.2151,175.1668,123.552,425.92,230.6447,71.168,55.1467,53.63,8.7733,32.8803,177.3213,21.6067,85.3864,38.0566
2020-06-02,78.5772,177.1596,123.6205,427.31,231.4503,71.5358,55.3785,53.54,8.7922,34.2908,181.0553,21.8087,85.6722,38.8058
2020-06-03,79.0098,177.5908,123.92,421.97,228.9042,71.3946,55.2091,52.73,8.7367,35.7986,186.7581,22.8183,90.2966,39.9381
